"Project Name",Subtype,"Current Status","Capacity (MW)","Year of Completion","Country list of Sponsor/Developer","Sponsor/Developer Company","Country list of Lender/Financier","Lender/Financier Company","Country list of Construction/EPC","Construction Company/EPC Participant",Country,Province/State,District
"300 MW Attapeu & Borikhamxay",Solar,Planned,250,2019,,,,,," ",Laos,"Vientiane [prefecture]",Chanthabuly
"300 MW Attapeu & Borikhamxay",Solar,Planned,50,2019,USA,"Convalt Energy LLC (USA)",,,," ",Laos,Attapu,Samakkhixay
"A Luoi",Hydro,Operational,170,2012,Vietnam,"Central Region Hydropower JSC",,,Vietnam,VINAINCON,Vietnam,"Thừa Thiên Huế","A Lưới"
"A Vuong",Hydro,Operational,210,2008,Vietnam,"A Vuong Hydro Power JSC",,,"Japan; Vietnam","Sumitomo, Licogi",Vietnam,"Quảng Nam","Đông Giang"
"A.T. Biopower Rice Husk Power Project",Biomass,Operational,22.5,2004,Thailand,"A.T. Biopower",,,," ",Thailand,Phichit,"Bang Mun Nak"
"Active Synergy Landfill Gas Power Generation Project",Waste,Unknown,1.04,,Thailand,"Active Synergy Co., Ltd.",,,"United Kingdom","EDF Trading Ltd (EDFT)",Thailand,"Nakhon Pathom","Kamphaeng Saen"
"Advanced Wastewater Management at Rajburi Ethanol Plant",Waste,Unknown,,,Thailand,"Rajburi Ethanol Co.",,,Sweden,"Carbon Asset Management Sweden AB",Thailand,Ratchaburi,"Ban Pong"
"Agricultural cooperative solar project",Solar,"Under Construction",5,2018,China,"ReneSola Ltd (China)",,,China,"ReneSola Ltd (China)",Thailand,Rayong,"Muang Rayong"
Ahlone,Gas,Operational,153,1995,Myanmar,"MEPE (Myanmar)",,,," ",Myanmar,Yangon,Yangon-E
Ahlone,Gas,Planned,388,,"Thailand; Japan; Myanmar","TTCL Myanmar Power Co., Ltd (Thailand, Japan, Myanmar)",,,Thailand,"Toyo-Thai [Italian-Thai Development (Thailand), Toyo Engineering (Japan)]",Myanmar,Yangon,Yangon-W
Ahlone,Gas,Operational,120,2013,"Thailand; Japan; Myanmar","Toyo Thai Power Myanmar Co., Ltd (Thailand, Japan, Myanmar)",,,," ",Myanmar,Yangon,Yangon-W
"AJ Technology Company Limited (AJ)",Solar,Operational,3.7,2013,Thailand,"AJ Technology Co. Ltd. (Solar Power Asset Co., Ltd., Dr. Art-ong Jumsai No Ayudhya, Mr. Krit Jumsai Na Adhya, Solar Power Co., Ltd.)",,,," ",Thailand,"Lop Buri","Chai Badan"
"Ajinomoto Waste Water Treatment and Biogas Utilization Project",Biomass,Operational,4,2008,Japan,"Ajinomoto Co., Ltd.",,,," ",Thailand,"Kamphaeng Phet","Mueang Kamphaeng Phet"
"Akekamai-Ramintra Solar Power Plant",Solar,Operational,1,,Thailand,"Thai Solar Energy Public Company Limited (TSE)",,,," ",Thailand,"Bangkok Metropolis","Khan Na Yao"
Amata,Oil,Operational,13,,,,,,," ",Vietnam,"Đồng Nai","Biên Hòa"
"Amata B.Grimm",Gas,Operational,732,2016,Thailand,"B. Grimm Power",,,"Japan; Germany; Finland; France","Siemens, Sumitomo Corporation, Toshiba Plant Systems, Alstom Power, Pöyry Energy",Thailand,"Chon Buri","Muang Chon Buri"
"Amata B.Grimm Power (Rayong) 1",Gas,Operational,123.3,2013,Thailand,B.Grimm,,,,,Thailand,Rayong,"Pluak Daeng"
"Amata B.Grimm Power (Rayong) 2",Gas,Operational,124.4,2013,Thailand,B.Grimm,,,,,Thailand,Rayong,"Pluak Daeng"
"Amata B.Grimm Power (Rayong) 3",Gas,Operational,133,2018,Thailand,B.Grimm,,,,,Thailand,Rayong,"Pluak Daeng"
"Amata B.Grimm Power (Rayong) 4",Gas,Operational,133,2018,Thailand,B.Grimm,,,,,Thailand,Rayong,"Pluak Daeng"
"Amata B.Grimm Power (Rayong) 5",Gas,Operational,133,2018,Thailand,B.Grimm,,,,,Thailand,Rayong,"Pluak Daeng"
"An Khanh - Bac Giang (Nhà máy Nhiệt điện An Khánh - Bắc Giang)",Coal,Planned,650,2023,Vietnam,"An Khanh - Bac Giang Thermal Power JSC",China,"China Development Bank (CDB); Industrial and Commercial Bank of China (ICBC)",," ",Vietnam,"Bắc Giang","Lục Nam"
"An Khanh I (Nhà máy nhiệt điện An Khánh I)",Coal,Operational,120,2015,Vietnam,"An Khanh Electricity JSC","China; Vietnam","China Communications Bank; Bank of China, China Construction Bank, China Exim Bank, Bank for Investment and Development of Vietnam",China,"China People Electricity and Gas Group",Vietnam,"Thái Nguyên","Đại Từ"
